log-likelihood; `` кабаре; 212.27
log-likelihood; '' и; 39.97
log-likelihood; том что; 96.06
log-likelihood; о том; 142.41
log-likelihood; и тут; 34.07
log-likelihood; на сцене; 87.37
log-likelihood; что он; 33.88
log-likelihood; у него; 94.51
log-likelihood; никанора ивановича; 169.04
log-likelihood; '' подумал; 78.12
log-likelihood; не может; 71.58
log-likelihood; сказал иван; 46.81
log-likelihood; и сам; 39.49
log-likelihood; аркадий аполлонович; 135.78
log-likelihood; как будто; 70.46
log-likelihood; в том; 34.58
log-likelihood; так что; 28.28
log-likelihood; лишь только; 79.96
log-likelihood; так как; 33.2
log-likelihood; потому что; 67.54
log-likelihood; а затем; 50.39
log-likelihood; что же; 23.62
log-likelihood; ничего не; 38.32
log-likelihood; и вдруг; 23.78
log-likelihood; понтия пилата; 117.3
log-likelihood; после чего; 82.35
log-likelihood; что все; 22.9
log-likelihood; за ним; 57.79
log-likelihood; не успел; 57.56
log-likelihood; на галерке; 57.51
log-likelihood; с ним; 43.5
log-likelihood; на сцену; 45.39
log-likelihood; в зале; 43.58
log-likelihood; в сторону; 43.58
log-likelihood; в москве; 37.51
log-likelihood; сказал варенуха; 29.11
log-likelihood; не было; 21.71
log-likelihood; через минуту; 74.86
log-likelihood; по лицу; 64.33
log-likelihood; что это; 18.57
log-likelihood; то есть; 48.62
log-likelihood; с вами; 49.16
log-likelihood; слово ``; 43.62
log-likelihood; сейчас же; 40.4
log-likelihood; сказал стравинский; 33.66
log-likelihood; показалось что; 34.15
log-likelihood; увидел что; 26.59
log-likelihood; то что; 17.62
log-likelihood; что у; 17.18
log-likelihood; и даже; 17.58
log-likelihood; аркадия аполлоновича; 91.45
log-likelihood; белой магии; 75.46
log-likelihood; во владикавказе; 68.96
log-likelihood; под трамвай; 56.74
log-likelihood; только одно; 51.87
log-likelihood; видно было; 49.58
log-likelihood; по телефону; 53.54
log-likelihood; ... но; 18.42
log-likelihood; в дверь; 19.52
log-likelihood; товарищ варенуха; 38.75
log-likelihood; спросил стравинский; 34.03
log-likelihood; рядом с; 37.37
log-likelihood; сообразил что; 36.78
log-likelihood; не мог; 35.7
log-likelihood; руки и; 18.48
log-likelihood; ... ''; 16.49
log-likelihood; в белом; 35.37
log-likelihood; в небе; 35.37
log-likelihood; в партере; 35.37
log-likelihood; в таком; 35.37
log-likelihood; как раз; 26.83
log-likelihood; не знал; 26.11
log-likelihood; на ней; 24.97
log-likelihood; `` да; 23.24
log-likelihood; в кабинет; 24.96
log-likelihood; того что; 22.6
log-likelihood; и тотчас; 15.81
log-likelihood; и стал; 15.06
log-likelihood; и славно; 22.51
log-likelihood; и опять; 14.37
log-likelihood; так ...; 18.2
log-likelihood; этого не; 16.31
log-likelihood; распорядитель и; 16.11
log-likelihood; никанору ивановичу; 74.95
log-likelihood; прасковья васильевна; 74.95
log-likelihood; славное море; 69.94
log-likelihood; триста долларов; 67.31
log-likelihood; финансовый директор; 65.39
log-likelihood; сдавайте валюту; 60.38
log-likelihood; представил себе; 53.69
log-likelihood; быть во; 42.58
log-likelihood; открыл глаза; 43.2
log-likelihood; в то; 9.62
log-likelihood; из кармана; 45.42
log-likelihood; к нему; 42.04
log-likelihood; будто бы; 35.09
pmi; никанор иванович; 9.22
pmi; молодой человек; 8.32
pmi; тут же; 5.84
pmi; кабаре ''; 6.78
pmi; `` кабаре; 6.66
pmi; '' и; 2.06
pmi; том что; 5.21
pmi; о том; 7.57
pmi; и тут; 2.31
pmi; на сцене; 5.69
pmi; что он; 2.66
pmi; у него; 7.08
pmi; никанора ивановича; 10.75
pmi; '' подумал; 6.37
pmi; не может; 5.65
pmi; сказал иван; 4.59
pmi; и сам; 3.49
pmi; аркадий аполлонович; 10.27
pmi; как будто; 6.35
pmi; в том; 3.56
pmi; так что; 3.22
pmi; лишь только; 8.0
pmi; так как; 3.88
pmi; потому что; 6.07
pmi; а затем; 5.59
pmi; что же; 2.87
pmi; ничего не; 4.52
pmi; и вдруг; 2.75
pmi; понтия пилата; 11.07
pmi; после чего; 9.09
pmi; что все; 3.01
pmi; за ним; 6.91
pmi; не успел; 5.91
pmi; на галерке; 5.91
pmi; с ним; 5.47
pmi; на сцену; 5.39
pmi; в зале; 4.9
pmi; в сторону; 4.9
pmi; в москве; 4.58
pmi; сказал варенуха; 4.25
pmi; не было; 3.13
pmi; через минуту; 9.41
pmi; по лицу; 7.68
pmi; что это; 2.84
pmi; то есть; 6.87
pmi; с вами; 6.35
pmi; слово ``; 6.09
pmi; сейчас же; 5.96
pmi; сказал стравинский; 5.26
pmi; показалось что; 5.07
pmi; увидел что; 4.33
pmi; то что; 2.99
pmi; что у; 2.94
pmi; и даже; 2.84
pmi; аркадия аполлоновича; 11.75
pmi; белой магии; 10.81
pmi; во владикавказе; 9.75
pmi; под трамвай; 8.6
pmi; только одно; 8.23
pmi; видно было; 7.81
pmi; по телефону; 7.68
pmi; ... но; 3.45
pmi; в дверь; 3.43
pmi; товарищ варенуха; 6.62
pmi; спросил стравинский; 6.12
pmi; рядом с; 6.09
pmi; сообразил что; 5.8
pmi; не мог; 5.65
pmi; руки и; 3.2
pmi; ... ''; 3.2
pmi; в белом; 5.1
pmi; в небе; 5.1
pmi; в партере; 5.1
pmi; в таком; 5.1
pmi; как раз; 5.04
pmi; не знал; 4.78
pmi; на ней; 4.65
pmi; `` да; 4.56
pmi; в кабинет; 4.42
